Mmul_8.0.1-ENSMMUG00000023096@ENSMMUT00000076822-intron_92(110)	GRCh38-ENSG00000154358@ENST00000366707-intron_96(114),GRCm38-ENSMUSG00000061462@ENSMUST00000047441-intron_85(103),Pan_tro_3.0-ENSPTRG00000046375@ENSPTRT00000083428-intron_96(114),Rnor_6.0-ENSRNOG00000058068@ENSRNOT00000078353-intron_86(104),TETRAODON8-ENSTNIG00000015533@ENSTNIT00000018831-intron_63(83)
Mmul_8.0.1-ENSMMUG00000012615@ENSMMUT00000017688-intron_22(33)	UMD3.1-ENSBTAG00000000535@ENSBTAT00000017452-intron_22(33),CanFam3.1-ENSCAFG00000011585@ENSCAFT00000018397-intron_23(34),GRCz11-ENSDARG00000055698@ENSDART00000188518-intron_22(33),GRCh38-ENSG00000135749@ENST00000258229-intron_22(33),monDom5-ENSMODG00000008590@ENSMODT00000010896-intron_22(33),GRCm38-ENSMUSG00000060212@ENSMUST00000047239-intron_22(33),Pan_tro_3.0-ENSPTRG00000002117@ENSPTRT00000003869-intron_22(33),Rnor_6.0-ENSRNOG00000028580@ENSRNOT00000030077-intron_22(33),TETRAODON8-ENSTNIG00000017007@ENSTNIT00000020363-intron_13(27),JGI_4.2-ENSXETG00000014571@ENSXETT00000053128-intron_13(22)
Mmul_8.0.1-ENSMMUG00000012615@ENSMMUT00000017688-intron_22(33)	UMD3.1-ENSBTAG00000000535@ENSBTAT00000017452-intron_22(33),CanFam3.1-ENSCAFG00000011585@ENSCAFT00000018397-intron_23(34),Galgal5-ENSGALG00000011013@ENSGALT00000017942-intron_20(23),GRCh38-ENSG00000135749@ENST00000258229-intron_22(33),monDom5-ENSMODG00000008590@ENSMODT00000010896-intron_22(33),GRCm38-ENSMUSG00000060212@ENSMUST00000047239-intron_22(33),Pan_tro_3.0-ENSPTRG00000002117@ENSPTRT00000003869-intron_22(33),Rnor_6.0-ENSRNOG00000028580@ENSRNOT00000030077-intron_22(33)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_1(47)	UMD3.1-ENSBTAG00000020887@ENSBTAT00000061031-intron_1(46),CanFam3.1-ENSCAFG00000013004@ENSCAFT00000020724-intron_2(48),GRCz11-ENSDARG00000095614@ENSDART00000134656-intron_1(44),GRCh38-ENSG00000198216@ENST00000367573-intron_1(47),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_2(50),GRCm38-ENSMUSG00000004110@ENSMUST00000187541-intron_1(46),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_1(47),Rnor_6.0-ENSRNOG00000002863@ENSRNOT00000003928-intron_1(46),TETRAODON8-ENSTNIG00000015498@ENSTNIT00000018795-intron_1(52)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_1(47)	UMD3.1-ENSBTAG00000020887@ENSBTAT00000061031-intron_1(46),CanFam3.1-ENSCAFG00000013004@ENSCAFT00000020724-intron_2(48),GRCz11-ENSDARG00000095614@ENSDART00000134656-intron_1(44),GRCh38-ENSG00000198216@ENST00000367573-intron_1(47),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_2(50),GRCm38-ENSMUSG00000004110@ENSMUST00000187541-intron_1(46),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_1(47),Rnor_6.0-ENSRNOG00000002863@ENSRNOT00000003928-intron_1(46),FUGU5-ENSTRUG00000008613@ENSTRUT00000021689-intron_1(39)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_1(47)	KH-ENSCING00000002428@ENSCINT00000004981-intron_1(41),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_2(50),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_1(47)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_16(47)	UMD3.1-ENSBTAG00000020887@ENSBTAT00000061031-intron_16(46),WBcel235-WBGene00006742@T02C5.5e-intron_14(29),CanFam3.1-ENSCAFG00000013004@ENSCAFT00000020724-intron_17(48),GRCz11-ENSDARG00000095614@ENSDART00000134656-intron_16(44),Galgal5-ENSGALG00000003833@ENSGALT00000039677-intron_17(47),GRCh38-ENSG00000198216@ENST00000367573-intron_16(47),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_17(50),GRCm38-ENSMUSG00000004110@ENSMUST00000187541-intron_16(46),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_16(47),Rnor_6.0-ENSRNOG00000002863@ENSRNOT00000003928-intron_16(46)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_16(47)	WBcel235-WBGene00006742@T02C5.5e-intron_14(29),KH-ENSCING00000002428@ENSCINT00000004981-intron_18(41),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_17(50),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_16(47)
Mmul_8.0.1-ENSMMUG00000014498@ENSMMUT00000072978-intron_16(47)	UMD3.1-ENSBTAG00000020887@ENSBTAT00000061031-intron_16(46),CanFam3.1-ENSCAFG00000013004@ENSCAFT00000020724-intron_17(48),GRCz11-ENSDARG00000095614@ENSDART00000134656-intron_16(44),Galgal5-ENSGALG00000003833@ENSGALT00000039677-intron_17(47),GRCh38-ENSG00000198216@ENST00000367573-intron_16(47),monDom5-ENSMODG00000006729@ENSMODT00000008509-intron_17(50),GRCm38-ENSMUSG00000004110@ENSMUST00000187541-intron_16(46),Pan_tro_3.0-ENSPTRG00000001749@ENSPTRT00000003175-intron_16(47),Rnor_6.0-ENSRNOG00000002863@ENSRNOT00000003928-intron_16(46),TETRAODON8-ENSTNIG00000015498@ENSTNIT00000018795-intron_16(52)
Mmul_8.0.1-ENSMMUG00000016408@ENSMMUT00000023043-intron_19(35)	GRCz11-ENSDARG00000077530@ENSDART00000155545-intron_18(34),GRCh38-ENSG00000153207@ENST00000366508-intron_19(35),FUGU5-ENSTRUG00000005280@ENSTRUT00000012730-intron_18(33)
